image_path,label
train/real/14147.jpg,1
train/real/52112.jpg,1
train/real/34297.jpg,1
train/real/24084.jpg,1
train/real/65966.jpg,1
train/real/23933.jpg,1
train/real/54563.jpg,1
train/real/15259.jpg,1
train/real/44770.jpg,1
train/real/02725.jpg,1
train/real/47279.jpg,1
train/real/36480.jpg,1
train/real/28866.jpg,1
train/real/09670.jpg,1
train/real/37946.jpg,1
train/real/40516.jpg,1
train/real/58359.jpg,1
train/real/06543.jpg,1
train/real/10321.jpg,1
train/real/41608.jpg,1
train/real/46167.jpg,1
train/real/69184.jpg,1
train/real/49254.jpg,1
train/real/20584.jpg,1
train/real/17328.jpg,1
train/real/49532.jpg,1
train/real/10447.jpg,1
train/real/56412.jpg,1
train/real/67817.jpg,1
train/real/30797.jpg,1
train/real/21842.jpg,1
train/real/09116.jpg,1
train/real/11759.jpg,1
train/real/40270.jpg,1
train/real/31489.jpg,1
train/real/06225.jpg,1
train/real/19305.jpg,1
train/real/16036.jpg,1
train/real/50063.jpg,1
train/real/44016.jpg,1
train/real/02043.jpg,1
train/real/32180.jpg,1
train/real/43779.jpg,1
train/real/12250.jpg,1
train/real/54205.jpg,1
train/real/42467.jpg,1
train/real/04432.jpg,1
train/real/35837.jpg,1
train/real/14621.jpg,1
train/real/52674.jpg,1
train/real/45308.jpg,1
train/real/22387.jpg,1
train/real/02057.jpg,1
train/real/44002.jpg,1
train/real/54211.jpg,1
train/real/04426.jpg,1
train/real/42473.jpg,1
train/real/52660.jpg,1
train/real/23099.jpg,1
train/real/03349.jpg,1
train/real/00640.jpg,1
train/real/11995.jpg,1
train/real/46615.jpg,1
train/real/49526.jpg,1
train/real/20590.jpg,1
train/real/21856.jpg,1
train/real/30783.jpg,1
train/real/67803.jpg,1
train/real/57718.jpg,1
train/real/09102.jpg,1
train/real/06231.jpg,1
train/real/40264.jpg,1
train/real/19311.jpg,1
train/real/50077.jpg,1
train/real/16022.jpg,1
train/real/48638.jpg,1
train/real/36494.jpg,1
train/real/19477.jpg,1
train/real/50711.jpg,1
train/real/07891.jpg,1
train/real/28872.jpg,1
train/real/37952.jpg,1
train/real/26687.jpg,1
train/real/09664.jpg,1
train/real/06557.jpg,1
train/real/40502.jpg,1
train/real/27599.jpg,1
train/real/56360.jpg,1
train/real/59053.jpg,1
train/real/00126.jpg,1
train/real/69190.jpg,1
train/real/18769.jpg,1
train/real/49240.jpg,1
train/real/52106.jpg,1
train/real/14153.jpg,1
train/real/34283.jpg,1
train/real/04340.jpg,1
train/real/55669.jpg,1
train/real/24090.jpg,1
train/real/23927.jpg,1
train/real/65972.jpg,1
train/real/12522.jpg,1
train/real/44764.jpg,1
train/real/48176.jpg,1
train/real/67195.jpg,1
train/real/50739.jpg,1
train/real/01210.jpg,1
train/real/58365.jpg,1
train/real/11003.jpg,1
train/real/39957.jpg,1
train/real/28682.jpg,1
train/real/56348.jpg,1
train/real/51427.jpg,1
train/real/17472.jpg,1
train/real/49268.jpg,1
train/real/18741.jpg,1
train/real/26877.jpg,1
train/real/45452.jpg,1
train/real/65782.jpg,1
train/real/32802.jpg,1
train/real/13614.jpg,1
train/real/04368.jpg,1
train/real/43023.jpg,1
train/real/55899.jpg,1
train/real/02719.jpg,1
train/real/53230.jpg,1
train/real/15265.jpg,1
train/real/63495.jpg,1
train/real/54239.jpg,1
train/real/05710.jpg,1
train/real/43745.jpg,1
train/real/13172.jpg,1
train/real/03361.jpg,1
train/real/45334.jpg,1
train/real/51341.jpg,1
train/real/00668.jpg,1
train/real/07107.jpg,1
train/real/41152.jpg,1
train/real/61282.jpg,1
train/real/08234.jpg,1
train/real/69806.jpg,1
train/real/57730.jpg,1
train/real/11765.jpg,1
train/real/48610.jpg,1
train/real/01576.jpg,1
train/real/51355.jpg,1
train/real/18033.jpg,1
train/real/46629.jpg,1
train/real/41146.jpg,1
train/real/59709.jpg,1
train/real/07113.jpg,1
train/real/08220.jpg,1
train/real/61296.jpg,1
train/real/40258.jpg,1
train/real/60188.jpg,1
train/real/11771.jpg,1
train/real/69812.jpg,1
train/real/30967.jpg,1
train/real/48604.jpg,1
train/real/01562.jpg,1
train/real/62947.jpg,1
train/real/24912.jpg,1
train/real/15517.jpg,1
train/real/53542.jpg,1
train/real/12278.jpg,1
train/real/63481.jpg,1
train/real/52884.jpg,1
train/real/43751.jpg,1
train/real/55133.jpg,1
train/real/43989.jpg,1
train/real/14609.jpg,1
train/real/03413.jpg,1
train/real/32816.jpg,1
train/real/65796.jpg,1
train/real/13600.jpg,1
train/real/44980.jpg,1
train/real/55655.jpg,1
train/real/05062.jpg,1
train/real/44758.jpg,1
train/real/15271.jpg,1
train/real/53224.jpg,1
train/real/67181.jpg,1
train/real/48162.jpg,1
train/real/47251.jpg,1
train/real/01204.jpg,1
train/real/29588.jpg,1
train/real/11017.jpg,1
train/real/57042.jpg,1
train/real/41620.jpg,1
train/real/28696.jpg,1
train/real/07675.jpg,1
train/real/08546.jpg,1
train/real/10309.jpg,1
